Country,EdLevel,YearsCodePro,Salary
Spain,Master’s degree,11.0,91295.0
France,Master’s degree,12.0,67666.0
Italy,Master’s degree,11.0,178343.0
France,Master’s degree,6.0,63370.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,14.0,85350.0
United States of America,Bachelor’s degree,3.0,120000.0
Germany,Master’s degree,20.0,97740.0
United States of America,Bachelor’s degree,7.0,205000.0
Switzerland,Less than a Bachelor’s degree,6.0,128129.0
France,Post grad,12.0,44037.0
United States of America,Master’s degree,1.0,101000.0
Germany,Post grad,14.0,89147.0
Italy,Bachelor’s degree,10.0,86999.0
United States of America,Bachelor’s degree,17.0,190000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor’s degree,0.5,31847.0
Italy,Less than a Bachelor’s degree,30.0,37592.0
Netherlands,Master’s degree,30.0,53703.0
Netherlands,Master’s degree,11.0,150369.0
Germany,Less than a Bachelor’s degree,1.0,10955.0
Spain,Bachelor’s degree,24.0,32222.0
India,Master’s degree,11.0,47854.0
United States of America,Bachelor’s degree,5.0,118000.0
United States of America,Bachelor’s degree,20.0,150000.0
United States of America,Master’s degree,2.0,87250.0
Germany,Bachelor’s degree,5.0,55851.0
Spain,Master’s degree,22.0,42962.0
Netherlands,Bachelor’s degree,6.0,56925.0
Germany,Master’s degree,8.0,91295.0
Russian Federation,Master’s degree,18.0,56022.0
United States of America,Bachelor’s degree,10.0,124000.0
Brazil,Less than a Bachelor’s degree,4.0,10070.0
Italy,Bachelor’s degree,11.0,91295.0
United States of America,Bachelor’s degree,40.0,120000.0
France,Master’s degree,1.0,44037.0
Pakistan,Bachelor’s degree,7.0,85925.0
Germany,Master’s degree,17.0,139628.0
United States of America,Bachelor’s degree,10.0,205000.0
Japan,Master’s degree,7.0,50915.0
France,Bachelor’s degree,6.0,69814.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor’s degree,18.0,49681.0
United States of America,Bachelor’s degree,13.0,163000.0
Sweden,Bachelor’s degree,9.0,70584.0
Poland,Post grad,12.0,74239.0
France,Post grad,5.0,66592.0
Italy,Bachelor’s degree,10.0,27926.0
United States of America,Bachelor’s degree,7.0,105000.0
Brazil,Bachelor’s degree,38.0,49233.0
Czech Republic,Less than a Bachelor’s degree,18.0,43435.0
Ukraine,Master’s degree,6.0,48000.0
United States of America,Bachelor’s degree,12.0,70000.0
United States of America,Bachelor’s degree,25.0,150000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,13.0,127388.0
Spain,Post grad,31.0,53703.0
Netherlands,Master’s degree,12.0,91295.0
Canada,Master’s degree,15.0,122124.0
Spain,Bachelor’s degree,14.0,80555.0
Norway,Master’s degree,10.0,149746.0
Austria,Less than a Bachelor’s degree,14.0,80555.0
United States of America,Bachelor’s degree,17.0,175000.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,14.0,68535.0
United States of America,Bachelor’s degree,2.0,120000.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,11.0,114649.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,0.5,33121.0
Portugal,Master’s degree,11.0,128887.0
Finland,Less than a Bachelor’s degree,27.0,84851.0
Canada,Master’s degree,20.0,87231.0
Canada,Bachelor’s degree,12.0,93047.0
Israel,Less than a Bachelor’s degree,4.0,64762.0
Germany,Master’s degree,7.0,78621.0
Netherlands,Master’s degree,4.0,64444.0
United Kingdom of Great Britain and Northern Ireland,Post grad,10.0,84076.0
Germany,Master’s degree,15.0,83777.0
Ukraine,Master’s degree,17.0,72000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,35032.0
United States of America,Bachelor’s degree,3.0,150000.0
Canada,Master’s degree,12.0,123578.0
Finland,Bachelor’s degree,8.0,46185.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,23.0,63694.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,73885.0
United States of America,Post grad,25.0,145000.0
United States of America,Bachelor’s degree,2.0,92000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,32.0,80254.0
United States of America,Less than a Bachelor’s degree,28.0,118106.0
United States of America,Bachelor’s degree,11.0,200000.0
Italy,Less than a Bachelor’s degree,18.0,32222.0
United States of America,Bachelor’s degree,4.0,110000.0
United States of America,Bachelor’s degree,10.0,215000.0
India,Bachelor’s degree,4.0,41872.0
United States of America,Bachelor’s degree,10.0,195000.0
United States of America,Bachelor’s degree,38.0,165000.0
Pakistan,Bachelor’s degree,5.0,12921.0
United States of America,Bachelor’s degree,10.0,127000.0
United States of America,Bachelor’s degree,2.0,98000.0
United States of America,Post grad,0.5,90000.0
France,Master’s degree,24.0,53703.0
United States of America,Master’s degree,8.0,175000.0
United States of America,Bachelor’s degree,6.0,159000.0
United States of America,Master’s degree,14.0,155000.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,7.0,127388.0
Romania,Bachelor’s degree,3.0,15536.0
France,Master’s degree,24.0,71962.0
Germany,Master’s degree,22.0,54777.0
Israel,Less than a Bachelor’s degree,8.0,100381.0
Finland,Master’s degree,25.0,80555.0
United States of America,Less than a Bachelor’s degree,27.0,170000.0
Switzerland,Less than a Bachelor’s degree,10.0,89134.0
United States of America,Less than a Bachelor’s degree,21.0,190000.0
Poland,Master’s degree,4.0,38604.0
United States of America,Bachelor’s degree,6.0,120000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,11.0,112101.0
United States of America,Bachelor’s degree,3.0,85000.0
Brazil,Bachelor’s degree,3.0,34609.0
Ukraine,Master’s degree,4.0,10000.0
Hungary,Bachelor’s degree,7.0,45655.0
Spain,Post grad,2.0,19333.0
United States of America,Bachelor’s degree,25.0,174000.0
Portugal,Master’s degree,10.0,26852.0
United States of America,Bachelor’s degree,12.0,119000.0
Israel,Bachelor’s degree,24.0,183493.0
Russian Federation,Bachelor’s degree,5.0,33613.0
Portugal,Less than a Bachelor’s degree,15.0,33296.0
United States of America,Less than a Bachelor’s degree,30.0,80000.0
United States of America,Bachelor’s degree,18.0,220000.0
United States of America,Bachelor’s degree,30.0,100000.0
Spain,Master’s degree,7.0,51555.0
France,Master’s degree,3.0,19333.0
United States of America,Less than a Bachelor’s degree,9.0,170000.0
United States of America,Master’s degree,8.0,126000.0
United States of America,Bachelor’s degree,7.0,80000.0
Bangladesh,Master’s degree,9.0,23454.0
Denmark,Master’s degree,17.0,129602.0
France,Master’s degree,23.0,93642.0
Netherlands,Master’s degree,7.0,66162.0
Netherlands,Less than a Bachelor’s degree,18.0,53703.0
Japan,Bachelor’s degree,11.0,66826.0
United States of America,Bachelor’s degree,10.0,250000.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,75159.0
Netherlands,Master’s degree,7.0,69814.0
United States of America,Post grad,20.0,90000.0
United States of America,Bachelor’s degree,7.0,130000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,44586.0
United States of America,Bachelor’s degree,10.0,250000.0
Poland,Less than a Bachelor’s degree,10.0,91809.0
United States of America,Master’s degree,7.0,155000.0
Switzerland,Master’s degree,8.0,122559.0
United States of America,Bachelor’s degree,22.0,184000.0
Israel,Less than a Bachelor’s degree,23.0,87429.0
United States of America,Bachelor’s degree,5.0,150000.0
United States of America,Bachelor’s degree,28.0,130000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor’s degree,7.0,101910.0
France,Post grad,12.0,79481.0
India,Bachelor’s degree,2.0,17945.0
Ukraine,Master’s degree,6.0,63600.0
United States of America,Post grad,15.0,75000.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,63694.0
United States of America,Less than a Bachelor’s degree,8.0,80000.0
United States of America,Master’s degree,19.0,130000.0
United States of America,Less than a Bachelor’s degree,23.0,132612.0
Russian Federation,Master’s degree,5.0,47059.0
Ukraine,Master’s degree,20.0,15876.0
United States of America,Bachelor’s degree,3.0,73000.0
Poland,Bachelor’s degree,3.0,28458.0
United States of America,Bachelor’s degree,34.0,110000.0
Russian Federation,Less than a Bachelor’s degree,32.0,26891.0
Germany,Master’s degree,26.0,64444.0
Canada,Less than a Bachelor’s degree,12.0,145386.0
United States of America,Less than a Bachelor’s degree,12.0,250000.0
Canada,Bachelor’s degree,21.0,96937.0
Germany,Bachelor’s degree,7.0,70888.0
United States of America,Bachelor’s degree,13.0,140000.0
Italy,Bachelor’s degree,6.0,37592.0
United Kingdom of Great Britain and Northern Ireland,Post grad,17.0,117197.0
United States of America,Post grad,22.0,175000.0
United States of America,Master’s degree,3.0,123000.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,36.0,98089.0
Russian Federation,Less than a Bachelor’s degree,22.0,22409.0
United States of America,Less than a Bachelor’s degree,21.0,250000.0
Mexico,Master’s degree,9.0,31483.0
Switzerland,Bachelor’s degree,8.0,139271.0
Italy,Master’s degree,4.0,45111.0
Netherlands,Bachelor’s degree,6.0,53703.0
Germany,Less than a Bachelor’s degree,22.0,69814.0
United States of America,Bachelor’s degree,10.0,207000.0
Germany,Master’s degree,14.0,122443.0
Portugal,Master’s degree,10.0,91295.0
Italy,Post grad,7.0,26852.0
United States of America,Post grad,2.0,130000.0
United States of America,Less than a Bachelor’s degree,6.0,160000.0
Switzerland,Less than a Bachelor’s degree,4.0,69959.0
Israel,Bachelor’s degree,2.0,10794.0
Poland,Bachelor’s degree,8.0,81663.0
Brazil,Bachelor’s degree,12.0,52800.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,18.0,50955.0
United States of America,Less than a Bachelor’s degree,6.0,137000.0
Brazil,Bachelor’s degree,27.0,18462.0
United States of America,Bachelor’s degree,10.0,150000.0
United States of America,Less than a Bachelor’s degree,7.0,120000.0
India,Bachelor’s degree,7.0,20577.0
United States of America,Master’s degree,8.0,87500.0
United States of America,Bachelor’s degree,7.0,70000.0
United States of America,Less than a Bachelor’s degree,17.0,126000.0
United States of America,Bachelor’s degree,13.0,152000.0
Russian Federation,Less than a Bachelor’s degree,22.0,46387.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,125859.0
Germany,Master’s degree,12.0,77332.0
United States of America,Master’s degree,12.0,165000.0
Canada,Bachelor’s degree,26.0,116309.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,50955.0
United States of America,Master’s degree,23.0,165000.0
United States of America,Master’s degree,2.0,125000.0
United States of America,Bachelor’s degree,9.0,200000.0
United States of America,Bachelor’s degree,10.0,130000.0
United States of America,Master’s degree,3.0,102000.0
United States of America,Bachelor’s degree,3.0,65000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,44586.0
United States of America,Bachelor’s degree,12.0,192000.0
Russian Federation,Master’s degree,20.0,16807.0
Germany,Master’s degree,4.0,69814.0
Germany,Less than a Bachelor’s degree,3.0,67129.0
United States of America,Bachelor’s degree,21.0,163000.0
Finland,Bachelor’s degree,12.0,115999.0
United States of America,Less than a Bachelor’s degree,4.0,102907.0
Denmark,Bachelor’s degree,7.0,86401.0
United States of America,Bachelor’s degree,10.0,180000.0
Greece,Master’s degree,10.0,21481.0
United States of America,Bachelor’s degree,8.0,115000.0
France,Master’s degree,1.0,53703.0
Belgium,Master’s degree,32.0,69814.0
United States of America,Bachelor’s degree,5.0,140000.0
United States of America,Bachelor’s degree,5.0,102500.0
United States of America,Bachelor’s degree,11.0,108000.0
Canada,Bachelor’s degree,15.0,75601.0
Russian Federation,Post grad,4.0,49972.0
Belgium,Master’s degree,11.0,91295.0
United States of America,Bachelor’s degree,6.0,132000.0
Sweden,Post grad,25.0,114461.0
United States of America,Bachelor’s degree,16.0,140000.0
Germany,Less than a Bachelor’s degree,3.0,12889.0
United States of America,Master’s degree,12.0,200000.0
United States of America,Master’s degree,5.0,200000.0
United States of America,Master’s degree,17.0,93000.0
United States of America,Bachelor’s degree,10.0,155250.0
Germany,Bachelor’s degree,22.0,118147.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,34.0,95541.0
Canada,Master’s degree,24.0,109039.0
United States of America,Bachelor’s degree,5.0,102000.0
Romania,Bachelor’s degree,6.0,107887.0
Germany,Less than a Bachelor’s degree,9.0,73036.0
United States of America,Bachelor’s degree,17.0,150000.0
United States of America,Post grad,25.0,205000.0
Germany,Master’s degree,11.0,81629.0
Canada,Master’s degree,8.0,74874.0
Germany,Less than a Bachelor’s degree,7.0,107406.0
United States of America,Bachelor’s degree,30.0,120000.0
Germany,Post grad,11.0,64444.0
France,Master’s degree,6.0,53703.0
United States of America,Bachelor’s degree,8.0,91500.0
United States of America,Master’s degree,7.0,140000.0
United States of America,Bachelor’s degree,13.0,97000.0
United States of America,Bachelor’s degree,9.0,135200.0
Germany,Master’s degree,17.0,85983.0
Spain,Less than a Bachelor’s degree,10.0,59073.0
Czech Republic,Bachelor’s degree,18.0,44304.0
Italy,Less than a Bachelor’s degree,10.0,214812.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,53503.0
Germany,Post grad,10.0,107406.0
Brazil,Master’s degree,8.0,23311.0
Denmark,Master’s degree,2.0,144002.0
Belgium,Bachelor’s degree,2.0,38666.0
United States of America,Bachelor’s degree,11.0,110000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,20.0,71814.0
Brazil,Less than a Bachelor’s degree,15.0,96227.0
United States of America,Bachelor’s degree,12.0,140000.0
Germany,Bachelor’s degree,22.0,107406.0
Israel,Less than a Bachelor’s degree,7.0,119810.0
United States of America,Bachelor’s degree,25.0,190000.0
India,Bachelor’s degree,10.0,95708.0
United States of America,Master’s degree,29.0,160000.0
Spain,Master’s degree,21.0,53703.0
Finland,Bachelor’s degree,4.0,80555.0
United States of America,Master’s degree,20.0,250000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor’s degree,10.0,47134.0
United States of America,Less than a Bachelor’s degree,12.0,133600.0
France,Master’s degree,8.0,69814.0
United States of America,Post grad,23.0,240000.0
United States of America,Bachelor’s degree,31.0,150000.0
Germany,Master’s degree,12.0,103110.0
Canada,Bachelor’s degree,12.0,138117.0
India,Bachelor’s degree,10.0,95708.0
United States of America,Bachelor’s degree,2.0,88000.0
United States of America,Bachelor’s degree,25.0,144000.0
Ukraine,Master’s degree,5.0,29621.0
Denmark,Bachelor’s degree,17.0,79201.0
France,Master’s degree,20.0,64444.0
United States of America,Bachelor’s degree,4.0,120000.0
Italy,Less than a Bachelor’s degree,7.0,42962.0
Spain,Master’s degree,6.0,70888.0
United States of America,Bachelor’s degree,19.0,158000.0
Norway,Master’s degree,24.0,107630.0
Brazil,Less than a Bachelor’s degree,15.0,18649.0
Brazil,Master’s degree,10.0,130541.0
Netherlands,Bachelor’s degree,6.0,85184.0
United States of America,Bachelor’s degree,6.0,145000.0
United States of America,Bachelor’s degree,2.0,149000.0
United States of America,Bachelor’s degree,6.0,90000.0
Ukraine,Bachelor’s degree,8.0,50000.0
Netherlands,Bachelor’s degree,26.0,57999.0
United States of America,Master’s degree,26.0,180000.0
Canada,Post grad,5.0,72693.0
United States of America,Master’s degree,19.0,176800.0
United States of America,Less than a Bachelor’s degree,20.0,200000.0
Germany,Master’s degree,6.0,89147.0
France,Master’s degree,13.0,60546.0
Poland,Bachelor’s degree,6.0,49889.0
Germany,Post grad,15.0,85925.0
Germany,Master’s degree,10.0,51426.0
France,Master’s degree,14.0,107406.0
United States of America,Bachelor’s degree,19.0,175000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,17.0,71337.0
United States of America,Less than a Bachelor’s degree,10.0,250000.0
Mexico,Bachelor’s degree,7.0,70000.0
Belgium,Master’s degree,34.0,59073.0
United States of America,Bachelor’s degree,3.0,115000.0
Netherlands,Master’s degree,5.0,48333.0
Brazil,Bachelor’s degree,5.0,18649.0
Austria,Master’s degree,10.0,107406.0
Australia,Bachelor’s degree,4.0,109009.0
Brazil,Bachelor’s degree,15.0,60235.0
United States of America,Bachelor’s degree,23.0,170000.0
India,Bachelor’s degree,8.0,11844.0
Hungary,Bachelor’s degree,20.0,27540.0
United States of America,Bachelor’s degree,2.0,80000.0
Germany,Bachelor’s degree,13.0,100962.0
Finland,Master’s degree,25.0,91295.0
United States of America,Master’s degree,14.0,207662.0
Netherlands,Less than a Bachelor’s degree,5.0,59073.0
Turkey,Bachelor’s degree,1.0,21640.0
United States of America,Bachelor’s degree,22.0,220000.0
Brazil,Master’s degree,14.0,35806.0
Germany,Master’s degree,15.0,92692.0
Netherlands,Bachelor’s degree,10.0,214812.0
United States of America,Bachelor’s degree,30.0,182000.0
United States of America,Master’s degree,9.0,143000.0
United States of America,Bachelor’s degree,8.0,66000.0
United States of America,Post grad,20.0,210000.0
Brazil,Bachelor’s degree,11.0,41960.0
United States of America,Bachelor’s degree,0.5,83000.0
Switzerland,Bachelor’s degree,5.0,111417.0
United States of America,Bachelor’s degree,6.0,135000.0
Germany,Master’s degree,20.0,64444.0
Israel,Less than a Bachelor’s degree,12.0,34108.0
France,Master’s degree,3.0,47259.0
Germany,Less than a Bachelor’s degree,20.0,107406.0
Israel,Less than a Bachelor’s degree,5.0,83651.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,12.0,114649.0
Germany,Post grad,9.0,75184.0
Germany,Bachelor’s degree,23.0,69814.0
United States of America,Bachelor’s degree,6.0,245000.0
Greece,Post grad,24.0,75184.0
Brazil,Less than a Bachelor’s degree,15.0,50911.0
Canada,Master’s degree,5.0,43616.0
United States of America,Bachelor’s degree,7.0,140000.0
Poland,Master’s degree,12.0,98986.0
France,Master’s degree,5.0,67666.0
Germany,Bachelor’s degree,6.0,80555.0
Denmark,Bachelor’s degree,10.0,86597.0
France,Bachelor’s degree,28.0,236294.0
Germany,Bachelor’s degree,9.0,74110.0
United States of America,Bachelor’s degree,1.0,78300.0
Poland,Bachelor’s degree,10.0,74239.0
United States of America,Less than a Bachelor’s degree,35.0,150000.0
Sweden,Less than a Bachelor’s degree,15.0,62629.0
Spain,Bachelor’s degree,4.0,64444.0
Germany,Master’s degree,7.0,56925.0
United States of America,Bachelor’s degree,5.0,165000.0
United States of America,Bachelor’s degree,13.0,150000.0
Israel,Master’s degree,15.0,80953.0
United States of America,Bachelor’s degree,10.0,83000.0
Austria,Master’s degree,10.0,123517.0
Germany,Master’s degree,18.0,150369.0
Netherlands,Bachelor’s degree,10.0,68740.0
New Zealand,Bachelor’s degree,26.0,81123.0
United States of America,Bachelor’s degree,23.0,110000.0
Poland,Master’s degree,11.0,42564.0
Spain,Bachelor’s degree,16.0,95541.0
Germany,Master’s degree,12.0,90221.0
United States of America,Bachelor’s degree,32.0,207000.0
Germany,Bachelor’s degree,7.0,82703.0
Turkey,Bachelor’s degree,4.0,51935.0
United States of America,Bachelor’s degree,43.0,210000.0
United States of America,Bachelor’s degree,8.0,120000.0
Spain,Master’s degree,11.0,62296.0
Germany,Master’s degree,7.0,69814.0
United States of America,Bachelor’s degree,15.0,105500.0
Greece,Bachelor’s degree,7.0,33296.0
United States of America,Bachelor’s degree,12.0,103000.0
Italy,Bachelor’s degree,2.0,33296.0
Germany,Master’s degree,6.0,60863.0
United States of America,Less than a Bachelor’s degree,5.0,130000.0
Germany,Bachelor’s degree,13.0,98599.0
Brazil,Bachelor’s degree,8.0,11189.0
Canada,Less than a Bachelor’s degree,38.0,170828.0
Canada,Bachelor’s degree,23.0,145386.0
United States of America,Bachelor’s degree,3.0,120000.0
United States of America,Bachelor’s degree,23.0,226000.0
United States of America,Master’s degree,3.0,127000.0
South Africa,Less than a Bachelor’s degree,10.0,53808.0
Germany,Master’s degree,15.0,97740.0
United States of America,Bachelor’s degree,10.0,180000.0
United States of America,Bachelor’s degree,12.0,142000.0
United States of America,Bachelor’s degree,19.0,160000.0
Ukraine,Bachelor’s degree,5.0,36000.0
Netherlands,Master’s degree,15.0,152517.0
United States of America,Bachelor’s degree,9.0,200000.0
New Zealand,Bachelor’s degree,16.0,122913.0
Denmark,Less than a Bachelor’s degree,8.0,127813.0
Ukraine,Bachelor’s degree,24.0,30074.0
United States of America,Master’s degree,10.0,230000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,20.0,70063.0
Canada,Less than a Bachelor’s degree,12.0,98135.0
India,Bachelor’s degree,5.0,19142.0
Netherlands,Bachelor’s degree,13.0,69814.0
Greece,Bachelor’s degree,10.0,42962.0
Ukraine,Bachelor’s degree,2.0,30000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,11.0,121018.0
Germany,Master’s degree,7.0,42962.0
Germany,Post grad,9.0,95592.0
France,Master’s degree,17.0,85925.0
United States of America,Less than a Bachelor’s degree,32.0,235000.0
United States of America,Less than a Bachelor’s degree,12.0,46000.0
India,Bachelor’s degree,8.0,41872.0
Italy,Post grad,6.0,45111.0
Sweden,Less than a Bachelor’s degree,30.0,62000.0
Denmark,Master’s degree,20.0,79201.0
United States of America,Bachelor’s degree,33.0,130000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,35.0,104458.0
Ukraine,Bachelor’s degree,7.0,110000.0
Romania,Bachelor’s degree,9.0,53703.0
Brazil,Bachelor’s degree,10.0,36365.0
Germany,Master’s degree,3.0,56925.0
United States of America,Bachelor’s degree,18.0,230000.0
Brazil,Bachelor’s degree,9.0,65271.0
Germany,Master’s degree,33.0,144998.0
Germany,Master’s degree,9.0,64444.0
United States of America,Master’s degree,5.0,197000.0
United States of America,Post grad,12.0,70000.0
Netherlands,Less than a Bachelor’s degree,4.0,80000.0
Italy,Bachelor’s degree,4.0,32222.0
France,Master’s degree,18.0,112777.0
United States of America,Less than a Bachelor’s degree,22.0,130000.0
Portugal,Post grad,9.0,75184.0
United States of America,Bachelor’s degree,25.0,163000.0
Austria,Post grad,0.5,73487.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor’s degree,15.0,95541.0
Poland,Master’s degree,7.0,53205.0
Germany,Less than a Bachelor’s degree,16.0,72499.0
United States of America,Master’s degree,16.0,155000.0
France,Bachelor’s degree,15.0,42640.0
Germany,Post grad,34.0,118147.0
Switzerland,Less than a Bachelor’s degree,14.0,120330.0
United States of America,Master’s degree,14.0,52840.0
Netherlands,Less than a Bachelor’s degree,4.0,171850.0
Poland,Bachelor’s degree,4.0,64341.0
Portugal,Less than a Bachelor’s degree,23.0,96666.0
Israel,Bachelor’s degree,9.0,121429.0
United Kingdom of Great Britain and Northern Ireland,Post grad,11.0,57325.0
Germany,Bachelor’s degree,10.0,91295.0
United States of America,Bachelor’s degree,2.0,77000.0
Canada,Post grad,6.0,90866.0
United States of America,Bachelor’s degree,45.0,145000.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor’s degree,12.0,138216.0
Switzerland,Master’s degree,8.0,142614.0
United States of America,Bachelor’s degree,15.0,206000.0
Ukraine,Master’s degree,5.0,27231.0
United States of America,Bachelor’s degree,8.0,142000.0
Germany,Bachelor’s degree,10.0,69814.0
United States of America,Master’s degree,14.0,190000.0
Poland,Master’s degree,12.0,74239.0
Canada,Less than a Bachelor’s degree,35.0,116309.0
Norway,Less than a Bachelor’s degree,2.0,62706.0
Turkey,Master’s degree,14.0,56710.0
United Kingdom of Great Britain and Northern Ireland,Less than a Bachelor’s degree,17.0,89172.0
Israel,Master’s degree,10.0,161905.0
United States of America,Bachelor’s degree,12.0,145000.0
Sweden,Master’s degree,12.0,76307.0
United States of America,Bachelor’s degree,28.0,175000.0
France,Bachelor’s degree,11.0,119221.0
Germany,Bachelor’s degree,9.0,80555.0
Ukraine,Less than a Bachelor’s degree,5.0,24684.0
Ukraine,Master’s degree,5.0,43000.0
Poland,Bachelor’s degree,5.0,79189.0
United States of America,Less than a Bachelor’s degree,18.0,220000.0
United States of America,Master’s degree,8.0,250000.0
United States of America,Less than a Bachelor’s degree,9.0,70000.0
Canada,Bachelor’s degree,17.0,50885.0
United States of America,Bachelor’s degree,2.0,85000.0
United States of America,Master’s degree,8.0,125000.0
Greece,Master’s degree,10.0,38666.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,30.0,89108.0
United States of America,Bachelor’s degree,20.0,135000.0
Germany,Bachelor’s degree,22.0,96666.0
Sweden,Master’s degree,6.0,57230.0
United Kingdom of Great Britain and Northern Ireland,Master’s degree,15.0,82802.0
United States of America,Less than a Bachelor’s degree,4.0,185000.0
Greece,Master’s degree,4.0,32222.0
United States of America,Bachelor’s degree,36.0,169000.0
Ukraine,Master’s degree,3.0,17772.0
